"","Year","Datetime","Stadium.x","City","Stage","Attendance","HomeTeamInitials","AwayTeamInitials","Stadium.y","Capacity","attend_idx"
"1",2006,"09 Jun 2006 - 18:00","FIFA World Cup Stadium, Munich","Munich","Group A",66000,"GER","CRC","FIFA World Cup Stadium, Munich",75024,0.879718490083173
"2",2006,"09 Jun 2006 - 21:00","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","Group A",52000,"POL","ECU","FIFA World Cup Stadium, Gelsenkirchen",62271,0.83505965858907
"3",2006,"10 Jun 2006 - 15:00","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","Group B",48000,"ENG","PAR","FIFA World Cup Stadium, Frankfurt",51500,0.932038834951456
"4",2006,"10 Jun 2006 - 18:00","FIFA World Cup Stadium, Dortmund","Dortmund","Group B",62959,"TRI","SWE","FIFA World Cup Stadium, Dortmund",81359,0.77384186137981
"5",2006,"10 Jun 2006 - 21:00","FIFA World Cup Stadium, Hamburg","Hamburg","Group C",49480,"ARG","CIV","FIFA World Cup Stadium, Hamburg",57274,0.863917309774069
"6",2006,"11 Jun 2006 - 15:00","Zentralstadion","Leipzig","Group C",43000,"SCG","NED","Zentralstadion",44345,0.969669635810125
"7",2006,"11 Jun 2006 - 18:00","Franken-Stadion","Nuremberg","Group D",41000,"MEX","IRN","Frankenstadion",17284,1
"8",2006,"11 Jun 2006 - 21:00","FIFA World Cup Stadium, Cologne","Cologne","Group D",45000,"ANG","POR","FIFA World Cup Stadium, Cologne",50374,0.893317981498392
"9",2006,"12 Jun 2006 - 15:00","Fritz-Walter-Stadion","Kaiserslautern","Group F",46000,"AUS","JPN","Fritz-Walter-Stadion",49780,0.924065889915629
"10",2006,"12 Jun 2006 - 18:00","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","Group E",52000,"USA","CZE","FIFA World Cup Stadium, Gelsenkirchen",62271,0.83505965858907
"11",2006,"12 Jun 2006 - 21:00","FIFA World Cup Stadium, Hanover","Hanover","Group E",43000,"ITA","GHA","FIFA World Cup Stadium, Hanover",49951,0.860843626754219
"12",2006,"13 Jun 2006 - 15:00","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","Group G",48000,"KOR","TOG","FIFA World Cup Stadium, Frankfurt",51500,0.932038834951456
"13",2006,"13 Jun 2006 - 18:00","Gottlieb-Daimler-Stadion","Stuttgart","Group G",52000,"FRA","SUI","Gottlieb-Daimler-Stadion",60441,0.860343144554193
"14",2006,"13 Jun 2006 - 21:00","Olympiastadion","Berlin","Group F",72000,"BRA","CRO","Olympiastadion",40600,1
"15",2006,"13 Jun 2006 - 21:00","Olympiastadion","Berlin","Group F",72000,"BRA","CRO","Olympiastadion",74475,0.966767371601209
"16",2006,"13 Jun 2006 - 21:00","Olympiastadion","Berlin","Group F",72000,"BRA","CRO","Olympiastadion",69250,1
"17",2006,"13 Jun 2006 - 21:00","Olympiastadion","Berlin","Group F",72000,"BRA","CRO","Olympia Stadion",17200,1
"18",2006,"14 Jun 2006 - 15:00","Zentralstadion","Leipzig","Group H",43000,"ESP","UKR","Zentralstadion",44345,0.969669635810125
"19",2006,"14 Jun 2006 - 18:00","FIFA World Cup Stadium, Munich","Munich","Group H",66000,"TUN","KSA","FIFA World Cup Stadium, Munich",75024,0.879718490083173
"20",2006,"14 Jun 2006 - 21:00","FIFA World Cup Stadium, Dortmund","Dortmund","Group A",65000,"GER","POL","FIFA World Cup Stadium, Dortmund",81359,0.798928207082191
"21",2006,"15 Jun 2006 - 15:00","FIFA World Cup Stadium, Hamburg","Hamburg","Group A",50000,"ECU","CRC","FIFA World Cup Stadium, Hamburg",57274,0.872996473094249
"22",2006,"15 Jun 2006 - 18:00","Franken-Stadion","Nuremberg","Group B",41000,"ENG","TRI","Frankenstadion",17284,1
